"name","numberOfGuests","roomType","stars"
"BougainVillea Retreat, Kandy - Main House","10","Entire home",
"5 Bedroom Luxury JH Villa","12","Entire home",
"Making Paradise Home. 6 Bedroomed Beach Villa","12","Entire villa",
"The Cavern, Luxury 3-bedroom cave stay","6","Cave",
"Superior Room with outdoor area in Habarana","2","Room in hotel",
"Victoria","10","Entire villa","5"
"Villa Lé Maas Tota Koslanda - Entire Villa","10","Entire villa",
"Skye House","14","Entire villa",
"South Point Ocean - 8 bedroom Luxury Beach Villa","16","Entire villa","4.56"
"Ishq Colombo","8","Entire villa",
"Pointe Sud clifftop villa, ocean views, beachfront","10","Entire villa",
"Luxury Four Bedroom Private Villa with Pool","8","Entire villa",
"Beach front villa Talpe, Galle, Sri Lanka.","8","Entire villa","4.9"
"Luxury Beach Villa for 6","6","Room in boutique hotel",
"Four Bedroom Private Villa with Pool","8","Entire villa",
"Villa In Galle Fort","9","Entire home",
"Maliga House hilltop villa, gym, pool & chef","8","Entire villa",
"Tea Tree Villa","12","Entire villa","5"
"Villa Serendipity","10","Entire villa","5"
"Stella Beach Villa","10","Entire cottage","4.9"
"Braganza House","8","Entire villa",
"Unwind In Style at This Beautiful Beach Front Property","16","Entire home","4.94"
"Halala Kanda – Luxury Private Villa & Estate","12","Entire villa","5"
"Claughton House","14","Entire villa",
"5 bedrm beach front villa, surf, pool, chef","12","Entire villa","5"
"Villa in Mirissa 3BR with Breakfast Infinity View","7","Entire villa","4.92"
"Luxury Mirissa Villa - Fully Staffed","12","Entire villa",
"12 Bed Rooms Villa Arugambay","16","Entire home",
"Secluded beachside house with pool and seaview","12","Entire home","4.97"
"Sihina","10","Entire villa","5"
"Beachfront villa for 10 guests with private Chef","10","Entire villa","4.96"
"Thalpe House, Galle, Sri Lanka","15","Entire villa","4.83"
"Bougainvillea Retreat a Stunning 8 BR near Kandy","16","Entire home",
"Koddu Kalpitiya Luxury Getaway","14","Room in hotel",
"3 BeachFront Villas, 3 Pools 18 rooms, Sleeps 37,","16","Entire home","5"
"Villa 99","4","Entire villa","4.65"
"7 bedrm beach house, roof terrace, pool, chef","14","Entire villa","5"
"A Private Slice Of Paradise - Mirissa, Sri Lanka","12","Entire villa",
"Maliga Kanda hill top, pool, gym & chef","14","Entire villa",
"Stunning Tekanda Lodge near Ahangama","2","Entire villa",
"Ranawara","14","Entire villa",
"mountain waterfall view","3","Private room in bed and breakfast",
"Aarunya Nature Resort and Spa-Entire Resort","16","Room in boutique hotel",
"Absolute beachfront villa, Thalpe Sri Lanka","10","Entire villa","4.92"
"Walatta House 3 bedrm beach pool chef","6","Entire villa","4.92"
"Glasshouse Kandy - Luxury 4 Bedroom Villa","8","Entire villa","5"
"Live the dream at Dragonfly","8","Entire villa","5"
"Samudra Beach Front Luxury Private Pool Villa","6","Entire villa","5"
"Valhalla villa - Madiha","10","Entire villa","4.88"
"Villa Sea Esta, Beachfront Villa, Wadduwa","8","Entire villa","5"
"Kumbura family villa, pool, cook, lovely views","8","Entire villa","5"
"Kumara Luxury Villa","8","Entire villa","5"
"Villa Tranquil Waters","6","Entire home",
"Bayagima","12","Entire villa","5"
"The Boat House Dikwella Hiriketiya/Chefs and staff","8","Entire villa","5"
"Ceylon House luxury 5 bed ocean front villa","10","Entire villa",
"August Beach House - Weligama","9","Entire home","4.96"
"Lavish pool villa in Thalduwa","12","Entire home",
"Luxury Heritage Walauwa with Private Pool","8","Room in boutique hotel",
"Villa Abiman - beachfront villa near Dikwella","10","Entire villa","4.98"
"Stella Antique Villa","14","Entire villa","5"
"Luxury Villa: Huge Infinity Pool, Amazing Views","16","Entire villa","5"
"Villa Seeni 243","11","Entire villa","4.94"
"Boundary House. 4 bedrm villa with private Chef","8","Entire villa",
"Luxury Beach Front Villa Olu, Galle","8","Entire villa","4.84"
"Tropical Group Oasis: Luxury","8","Room in hotel",
"Villa Salina - Luxury Beach Villa","12","Entire villa","4.83"
"Real Royalty-:Seawater Pool&Direct Beach Access","10","Entire villa","4.93"
"Boutique villa with infinity pool","8","Entire villa","5"
"Suduwella House","8","Entire home",
"Luxury Villa Ahangama Sri Lanka","10","Room in boutique hotel",
"Private Luxury beachfront villa in Weligama","10","Entire home",
"Mandalay  Lake side, 3 bedrms, pool & chef","6","Entire villa",
"Old Clove House","16","Entire villa","4.97"
"Siri Wedamadura - luxury villa in Mirissa","8","Entire home",
"Soul House Luxury Private Villa","10","Entire home","5"
"Home... for Long stay","2","Entire bungalow",
"South Point Villa - 3 bedroom beachfrontvilla","8","Entire villa","4.83"
"Zen House
a Boutique Hideaway","11","Entire villa",
"Arugambay Bilss Entire Place","16","Entire home",
"Old Clove House - 2 Bedrooms","4","Entire home",
"The Divine Villa","12","Room in boutique hotel",
"Old Clove House (3 bedrooms)","6","Entire home","5"
"Secluded Beach front Villa > Bed and Breakfast","8","Room in boutique hotel","4.91"
"Ocean front villa with private swimming pool.","10","Entire home",
"Waters Spring Hotel","12","Entire home",
"Nisala Arana Bentota, A Private Villa","16","Entire villa","4.83"
"Tudor Barn - Little England Cottages","10","Entire villa","5"
"Luxury Beachfront Villa in Hikkaduwa - Villa 46","10","Entire villa","5"
"Casa MiJa: Boutique Beach Front Villa Near Mirissa","14","Entire home","4.68"
"7BR Colonial Property w/ Pool + Serene Lake View","14","Entire villa","5"
"Riverside jungle villa sleeping 8 with pool","8","Entire villa",
"Signature Suite at Bougainvillea Retreat Kandy","2","Entire home",
"Ivy Beach - Private Beach front Villa (24 pax)","16","Entire villa","4.57"
"Bellini Blue - Beach-front Villa with pool","5","Entire villa",
"The RIV - Eco Mountain Villa","6","Shipping container",
"Jasper Leopard wilpattu","10","Entire bungalow","4.67"
"Saffron & Blue, 4BR, Bentota w/ chef","8","Entire villa",
"Olanda Beach House - Beachfront Villa in Talpe","10","Entire villa","4.37"
"Old Clove House","14","Entire villa","5"
"Araliya Beach House","8","Entire villa",
"On The Rocks -3 Bedroom Beachfront Villa","6","Entire villa","5"
"Celadon House, ocean views, chef, on the beach","10","Entire villa",
"Sulanga - Luxury Chalet","15","Entire home",
"Spectacular Koggala Lake view! Sea Heart House.","8","Entire home","4.86"
"IF Villa 10 beds (5 rooms) on Beach front","10","Room in boutique hotel",
"41 Lighthouse Street","6","Entire villa",
"Floating Villa with Full Board","2","Private room in boat",
"The Weir House - Vacation on a Spice Estate","10","Entire villa",
"THE LOVING LEOPARDS @ FLAME TREE ESTATE & HOTEL","2","Room in boutique hotel",
"Saffron & Blue, 3BR, Bentota w/ chef","6","Entire villa",
"30 Sqm Seaview room in Galle","3","Room in hotel",
"Luxury Beach Villa with your privacy","8","Entire villa",
"Subashri Villa -","16","Entire villa","4.89"
"906 Private Villa on the Beach","5","Room in hotel",
"Arhimser-Superb beach villa for 8, Ranna, Tangalle","8","Entire villa",
"Villa 32 Middle Street Galle Fort","6","Entire villa","5"
"Luxury Camp - Ceylon Wild Safaris","3","Campsite",
"Owl and the Pussycat Hotel (Galle) -Signature 2BHK","4","Room in boutique hotel",
"Luxury Apartment in Colombo","8","Entire rental unit",
"Kurokawa Kalutara","12","Entire home",
"Yala Lake View Cabanas","6","Tent",
"Kambura Villa Mirissa","12","Entire villa","5"
"Mirissa Group Luxury Ocean Views","6","Room in hotel",
"Dream Beach Villas Ambalangoda / Oceanfront","12","Entire villa","5"
"Tea Heights","6","Room in boutique hotel","5"
"The Cottage 43 - Viceroy House","2","Room in boutique hotel",
"Suite with Outdoor Bathtub","2","Private room in home",
"Luxury Private Suite Room, Beach Front","2","Private room in villa",
"THE PANTHERA YALA - Luxury Tent 02","2","Campsite",
"6BR Old Colonial Villa in Adams Peak","10","Entire villa",
"Oba Samanga","8","Entire villa",
"Sulanga - 3 BR Luxury Chalet","6","Entire home",
"9Provinces_boutique Galle
Entire Villa","16","Room in boutique hotel",
"“Cinnamon Serenity Villa”","15","Entire home",
"Luxury Colonial Villa","14","Entire villa",
"Ambalama Villa Sri Lanka","10","Entire villa","5"
"The River House by Asia Leisure","3","Private room in resort",
"Bethany101 Colonial Villa","13","Private room in casa particular",
"The Clarks@Celestial Hills-GardenView Family Villa","2","Entire home",
"A Tranquil, Tropical Lakeside","16","Room in hotel",
"1A Court Square by AQUA Villa","2","Tiny home",
"5 BR Netherleigh Heritage Bungalow by Lake Gregory","10","Entire bungalow",
"Vandalous Bay","8","Entire home",
"Hiyarapitiya House Kandy","6","Private room in villa",
"Deck 2 Sea","6","Entire villa",
"Group Haven: Coastal Bliss","10","Room in hotel",
"Welcoming Marakolliya Beach Resort (9- bed rooms)","4","Private room in bed and breakfast",
"Awesome Beach Bungalow with Pool","12","Entire villa",
"Gorgeous private villa on lake Koggala near Galle","10","Entire villa","4.9"
"Sānti - 3 Bedroom Beach House with Pool","8","Entire villa",
"Villa Reef Talpe","12","Room in hotel",
"Yakaduru - Sando","10","Private room in earthen home","5"
"Kara Collective -Entire Villa","8","Room in hotel",
"Thambilli Beach Front Villa","8","Entire villa","4.83"
"Panoramic Views of The Lake Gregory","16","Entire villa","4.71"
"Beautiful Family Villa Havana Hues kosgoda","12","Entire place",
"Kook's Paradise - Botique VILLA, Ahangama","12","Entire villa","5"
"Bay Villas Balapitiya","6","Room in boutique hotel",
"28Sqm Deluxe Room with Ocean view in Tangalle","2","Room in hotel",
"5BR Modern Dutch House w/ Pool + Serene Lake View","10","Entire bungalow",
"Villa Thuya Balapitiya","7","Entire villa",
"Deluxe Room","2","Room in boutique hotel",
"Villa Hikka 08","4","Entire rental unit","4.89"
"Church Street Townhouse","4","Entire villa",
"Two-bedroom villa with private pool and lake views","4","Entire home",
"Owl and the Pussycat Hotel (Galle)-Signature 1 BHK","2","Room in boutique hotel",
"Prince of Galle, Boutique accom ,Sri Lanka","14","Room in boutique hotel",
"Hiriketiya surfing bay villa with swimming pool","8","Entire villa","4.5"
"Crystal Sands - 3BR Suite with Private Pool","6","Entire rental unit",
"Koggala, Kurundu Villa","10","Entire guesthouse",
"Luxury Premier Room with Private Terrace (Bentota)","2","Room in boutique hotel",
"Yaal by Aryaana - Villa in Yala","12","Entire villa","3.75"
"Luxus Villa TROPICAL HOUSE Hikkaduwa","16","Private room in villa",
"The Loft in Beach House","4","Private room in home",
"Make your travel destination","16","Room in hotel",
"The Summit","10","Entire home",
"Owl and the Pussycat Hotel (Galle) - Suite Dreams","2","Room in boutique hotel",
"Kirinda Lodge by Ceilão Villas","8","Room in boutique hotel","4.25"
"Owl and the Pussycat Hotel (Galle) - Penthouse","2","Room in boutique hotel",
"Superior Room with Garden View in Bentota","2","Room in hotel",
"Romance in the Valley - Breakfast","5","Entire villa","4.33"
"THE PANTHERA YALA - Luxury Tent 01","3","Campsite",
"Unawatuna Apartments. Garden View.","5","Entire rental unit","5"
"The Hermitage by Edwards Collection","6","Room in boutique hotel",
"2BR-Lux-Bungalow W/ Golf ground","4","Entire guesthouse",
"Mango House - Galle Fort","16","Room in boutique hotel",
"The River House Balapitiya (Villa)","15","Entire villa",
"The STOK LAND Villa","10","Entire villa",
"Reef Villa & Spa  - Ocean Suite Four","2","Private room in guest suite",
"UdaKanda, stunning private hilltop villa nr beach","4","Entire villa","4.67"
"Mini apartment complex","3","Entire rental unit",
