"name","numberOfGuests","roomType","stars"
"Deluxe - Resort Sky Green","16","Room in bed and breakfast",
"Jasmine Cabana Unawatuna","13","Entire guesthouse",
"Ayaana Royal Suite","4","Private room in bed and breakfast",
"Hiri Point Villa - Deluxe Triple Room","3","Private room in guesthouse",
"Nagenahira …. where the sun rises","2","Private room in chalet","4.5"
"SUREVI villa, zwembad, WiFi, bij Colombo-airport","6","Entire villa",
"Sanuki","6","Entire villa","4.79"
"Talpe house","6","Entire home",
"Fabulous Beach Villa","6","Room in boutique hotel",
"Rivendell Twisted Tree","14","Entire villa",
"Airy oasis in the heart of Colombo","6","Entire condo","4.89"
"Villa Red Rose - Unawatuna","8","Entire home",
"Deluxe Family room with balcony and mountain view.","5","Private room in villa","3.67"
"Swimming Elephants and Hotel Rooms by Gal Oya Park","16","Room in bed and breakfast",
"Oreeka Hotel, Deluxe Apartment Family Room","6","Room in bed and breakfast",
"Queen Room  - Hilltop House Arugam Bay","2","Private room in cottage",
"Highbury Colombo - Family Room","4","Private room in guest suite",
"The Green Heritance- Single Room","2","Room in hotel",
"unawatuna Green View villa","2","Private room in villa",
"THE DEN home stay","2","Entire guesthouse",
"Deluxe sea view bungalow","2","Room in hotel",
"Gami life home stay","2","Private room in bed and breakfast",
"AANS home","2","Private room in home",
"Double Room-Nature View Sigiriya | Rock Side Hotel","2","Private room in nature lodge",
"Antic","2","Private room in home",
"the galle hostel (budget)","4","Private room in bed and breakfast",
"Two Bed Room Apartment","3","Private room in rental unit",
"2 bedroom apartment","3","Entire rental unit",
"Mountain View Hostel Bed 4","1","Shared room in hostel",
"Iddamal Bay Service Apartment","2","Private room in rental unit",
"Enjoy your vacation","10","Entire home",
"Double room with pool view Terrace Garden Weligama","2","Private room in bed and breakfast",
"Nilwood Hills Villa, Nillamba, Kandy","4","Entire villa",
"Luxury Tents @ Wilpattu National Parc","4","Private room in tent",
"Superior Three Bedroom Deluxe Apartment","5","Private room in rental unit",
"Cecilia Cottage","8","Entire rental unit","4.64"
"Luxury 3 Bedroom Furnished Apartment w Big Balcony","6","Entire rental unit",
"Cinnamon Villa","4","Entire villa",
"The Resort 320 - Central Colombo","4","Entire condo","4.79"
"coco cabana hikkaduwa with kitchen","2","Entire home",
"Villa in Ahangama","4","Entire home",
"Wasana Villa  Mirissa","6","Entire home","4.55"
"Summer Dream Villa and rooms","8","Private room in bed and breakfast",
"Field View House Ahangama II","2","Entire home",
"2-bedroom Suite in Galle Fort","5","Private room in home","4.75"
"Hikkaduwa Ceylon casa","6","Private room in home",
"Luxury in the heart of Colombo","4","Entire condo","4.97"
"Deluxe Villa in Ella","4","Entire villa",
"Cozy Friends room","8","Room in hotel",
"Villa Toscana : Serene Escape in Weligama","6","Entire home",
"Ocean  Suite","2","Private room in bed and breakfast",
"Birds Song Home Ella","2","Entire cabin",
"EcoBliss Villa Ekneligoda","12","Entire home",
"""Saffron_Robes_Living"" 002; designhotel by Dileepa","2","Room in hotel",
"Villa Anna","8","Entire home","4.5"
"Nice apartment in Hikkaduwa","2","Entire rental unit","4.33"
"Passion Ray Villa  & Tree Hut","11","Private room in bed and breakfast",
"ORA Luxury Villa 2","2","Entire home",
"Hillside Bungalow","10","Entire home","4.57"
"Sumudu Tourist Guest House - Room 1","4","Private room in bed and breakfast","4.56"
"Jungle Vibes","4","Entire home","5"
"Superior double room A/C Sea View","2","Room in hotel","4"
"Serene View Tourist Rest","9","Entire bungalow","4.13"
"Capital TRUST Residencies Col 04","6","Entire rental unit",
"Hazzel","3","Entire rental unit",
"Oasis Bay 2","2","Private room in bed and breakfast","4.57"
"Bett im Gemeinschaftszimmer","1","Shared room in hostel",
"Base Camp Yala - Safari camping in Yala","4","Private room in tent","4.67"
"Ocean Gateway Private villa on the beach","4","Room in hotel",
"Aknara River Rest Weligama","4","Entire villa",
"3 Bed Villa in 1/2 acre wooded land, 3km to city","6","Private room in villa",
"Eminent Villas - More Than Just A Villa","6","Entire home",
"Walking distance to beach","5","Shared room in dome",
"calm place with parking","2","Private room in bed and breakfast",
"Villa Sunbird","2","Private room in bed and breakfast",
"Room 114 - Triple Room","3","Room in hotel",
"The FOREST Villa and the Waves wait for you! 3 pax","3","Private room in guesthouse","4.67"
"Tranquil 3 Bed Private Apartment","6","Entire rental unit","5"
"Villa Sublime Bungalow","4","Private room in bed and breakfast",
"Green Havens of Kandy","4","Entire home",
"ORA Luxury Villa 4","2","Entire home",
"Entire Apartment with Three Bedrooms","6","Entire condo","5"
"TROPICAL HOUSE Admiral Suite Jungleside Villa","3","Private room in home","5"
"Heavenly Suite to call Your Own","4","Entire rental unit",
"SriLankaRoomStay","2","Private room in bungalow",
"Ocean Gateway Private villa on the beach","4","Room in hotel",
"Forest Edge Hotel providing 4 bedroom with Pool","12","Room in hotel",
"Family","4","Room in hotel",
"Salute Holiday Resort","6","Entire home",
"Double Room","2","Room in hotel",
"bourbon leisure (REC)","12","Entire home",
"2 Bedroom apartment on the beach","4","Entire rental unit",
"Niwahas Kottawa 2 Bed Rooms Apartment 1","4","Entire rental unit",
"comfort of a natural lake","3","Private room in cottage",
"Shanthi Homestay","4","Entire home",
"Villa Crimson Bay Unawatuna","8","Entire villa",
"Green Mountain Rest Mirissa","2","Private room in guesthouse",
"Backpacks Hostels","7","Shared room in bed and breakfast","4.6"
"Seaside Haven: Budget Cabana, Beach Access","2","Private room in bed and breakfast",
"Old Bridge Riverside Vila Kitulgala","12","Room in hotel",
"The Firs Nuwara Eliya","5","Entire serviced apartment",
"one private bed room with garden and balcony","2","Private room in bed and breakfast",
"Peacock House Sigiriya","3","Shared room in home",
"Laliz Where the good life begins","5","Entire home",
"Casa Hikka villa hikkaduwa","11","Entire villa","4.75"
"Triple/family room","3","Private room in rental unit",
"Brand New Luxury apartment in Fairway Galle.","6","Entire rental unit",
"2-bed Luxury Apartment - On 320","4","Entire rental unit",
"Luxury King Room & Two King Beds","4","Entire home",
"Villa In Negombo.","8","Entire villa","5"
"AMA VILLA","4","Entire villa","4.67"
"Unawatuna 02 Bed Rooms House & Pool","4","Tiny home",
"Salma Villa : Home Stay","4","Entire home",
"The Kandy House ~ Exclusive Villa","5","Entire home","4.22"
"Capitol Twin peaks Luxary 2 bedroom for 4 adults","4","Entire serviced apartment","4.47"
"Red Uncle’s house(R2)","2","Private room in rental unit",
"Opal Resort Mirissa #4","9","Entire home","4.7"
"Italian Room at Emel's Retreat","2","Private room in bed and breakfast",
"Baling & Jane","6","Private room in bungalow",
"Appartement avec vue sur mer","6","Entire rental unit",
"Liza's Place","2","Private room in home",
"Walking Distance Hostel to Beach","1","Shared room in dome",
"Blue Wild Villa with Private Pool - Yala Safari","4","Private room in bed and breakfast",
"Pride Rock Villa","7","Private room in bed and breakfast",
"D studio annex 
easy access to south coast","6","Entire home",
"Dream Garden - Deluxe Double Room AC and fan","2","Room in boutique hotel",
"Nice 3-bedroom serviced apt in Nuwara Eliya town","6","Entire serviced apartment","5"
"Animal room/ Swallow Villa","2","Private room in bed and breakfast",
"Pool Side Room At Jasper House","3","Room in boutique hotel","4"
"CMB flat with majestic city view","2","Entire rental unit",
"Ranvil's Rustic cabin
Homestay","5","Private room in cabin",
"Ripple Reach Apartments","4","Entire rental unit","4.75"
"Eco-friendly YURT","4","Yurt",
"The Affordable Beach Getaway","2","Room in hotel",
"Mountain View Villa in Weligama","2","Entire home",
"Deluxe Room 5 at Canela Resort","2","Room in hotel",
"Gurugedara","4","Entire home",
"ON  320 CITY CNTR AC SUPER LUXARY RESORT APARTMENT","4","Entire rental unit","4.82"
"Villa 2A","6","Entire home",
"07 Bed room Holiday Bangolow","4","Entire rental unit",
"Comfortable twin room in villa near Kandy","3","Private room in guesthouse",
"Jungle experience, organic food by jungle beach","16","Room in hotel","4.13"
"Comfort Double Room","3","Room in hotel",
"Ramble villa-field view","2","Entire cottage","4.67"
"Comfy and modern riverside bungalow","6","Entire bungalow","4.85"
"Welcome to Serenity and Tranquility","8","Room in boutique hotel","4.5"
"JENNY","4","Private room in guesthouse","4.76"
"Deluxe Room 3 at Canela Resort","2","Room in hotel",
"Dream Garden - Deluxe Single room with AC","2","Room in boutique hotel",
"Shirley's homestay2, Karapitiya, Galle, Sri Lanka","3","Entire rental unit",
"Villa Divine Dwell","6","Entire villa",
"Eth Mansala","6","Entire guesthouse",
"Hikka Villa","10","Entire villa","5"
"Sandy's Villa Hiriketiya (Family room )","4","Private room in guesthouse",
"Lucky Cottage - Superior with A/C","2","Private room in villa","4.7"
"Kirupa's Villa (2)","6","Entire home",
"Thotupola Lakeside Resort","12","Private room in bed and breakfast",
"kitty Ambewela Private Bungalow","11","Shipping container",
"Colonial House. Hikkaduwa. Fibre optic.","10","Entire bungalow","4.6"
"Pineapple Room Aircon with Courtyard","2","Entire rental unit",
"Nap Station Men's Dormitory","10","Dome",
"Green Haven holiday home","11","Entire home","4.75"
"Boutique Holiday villa","10","Entire guesthouse",
"Home Stay by J","2","Shared room in rental unit",
"Very nice guest house with 2 rooms only and a chef","4","Private room in bed and breakfast","5"
"City Square Serviced Apartments","6","Entire rental unit",
"Sera Villa Katunayake Air Port","4","Entire guesthouse",
"Hotel room in Trincomalee Beach Front","6","Private room in guest suite",
"araliya villa","2","Private room in bed and breakfast",
"Green Roof House, Pehembiya Road, Dickwella","12","Entire home","4.88"
"Unawatuna, вилла на краю океана","4","Entire villa","4.67"
"Morning Star Mirissa Queen room with balcony","2","Private room in home","5"
"Luxurious house in Colombo","4","Entire home",
"Memories Budget Bungalow,Hali-Ela/Ella","10","Private room in bed and breakfast",
"KumbukRiver Elephant Deluxe","4","Room in bed and breakfast","4.6"
"Cozy Retreat Sri Lanka","8","Entire guesthouse",
"Beautiful Boutique Location","2","Entire home",
"Lake view 4S Villa (2 floors, 4 bedrooms)","8","Entire home","5"
"Luxury Condo in Wellawatte","6","Entire rental unit",
"Suite Room with River Tub No 01","2","Entire rental unit",
"Green Escape Villa Unawatuna","5","Entire villa",
"Villa Anna","8","Entire villa","4.6"
"The Loft by Colombo Villas","3","Entire rental unit",
"01 BR Villa Mountain View with Breakfast","2","Private room in home",
"Apartment at Havelock City","8","Entire rental unit",
"Jak tree villa with Jacuuzi","4","Private room in home",
"Havelock Sanctuary","5","Entire home",
"Escape busy city life and enjoy yourself","2","Entire vacation home",
"BK Beach Boutique Hotel Hikkaduwa Ground floor","2","Room in hotel",
"Makahiya Fitness, Suite Room","3","Room in hotel",
"Rose of Sharon Oasis","8","Entire home",
"Villa 84","7","Entire home",
"The Rock Villas
villa # 2","6","Entire villa","4.6"
"WG  Wathurugame","10","Entire villa",
"Villa Sloot","4","Entire villa",
"Somerset Mirissa Beach","16","Room in boutique hotel",
"Family Room at Beach & Bliss Mirissa 302","4","Room in hotel",
"Hector Villa. A Home away from Home.","8","Entire villa",
"Sunrise Haven","2","Private room in bed and breakfast",
"Standard Double Room","2","Private room in guesthouse",
"Silver Ferns","4","Entire home","4.8"
"Sri Lanka Villa Private Haven with Pool & Luxury","7","Entire villa",
"Bolgoda Grand - Luxury by the Lake","6","Entire home","4.76"
"Embrace in the Mountain Dream","2","Room in hotel",
"Dumbara Breeze","5","Campsite",
"Pepper Superior","3","Private room in bungalow",
"Oddington escapes by dr.g","8","Entire cabin",
"The Butler's Homestay","1","Private room in home","5"
"Pivithuru River Cabanas 2 people","2","Room in hotel",
"Honeymoon Suite with Balcony","2","Private room in bed and breakfast",
"Mahi-Mahi Villa","5","Entire home",
"Ella Nature View Deluxe Double  Mountain View Room","2","Private room in cottage",
"Luxury Beach Deluxe Room With Pool","2","Private room in nature lodge",
"Classy and peaceful two Bedroom Apt in Colombo","4","Entire condo",
"Budget Double Room/ Lakeside Hotel","3","Private room in bungalow","4.13"
"Absolutely stunning location","2","Entire home",
"Dambulla Hills Resort","10","Entire home","4.33"
"Multi Villa Silver","6","Entire rental unit",
"Kings Hantana with 03 Beds","6","Entire rental unit",
"2 Bedroom Luxury  Villa with pool","4","Entire villa",
"Thick Forest Sigiriya standard 1","2","Private room in treehouse","4.2"
"Gem River Edge Eco Deluxe family room & safari","4","Private room in cottage","4.67"
"Great Yeheni Villa Room 3","2","Private room in rental unit",
"Coastal Tranquility: Hidden Gem Villa In Ahangama","12","Entire home",
"Deluxe Triple Room","3","Private room in home",
"Budget Room with Balcony","3","Private room in rental unit",
"Prana hOMe Hotel - Yoga & Wellness - Mantra Room","3","Room in boutique hotel","4.75"
"2 -Double Bed Room Apartment | Kitchen | By Beach","4","Entire rental unit",
"3 bedroom Apartment in Havelock Road, Colombo 06","5","Entire condo","4.75"
"Luxurious two bedroom apartment","4","Entire rental unit",
"Kandyan Holiday Center - Budget Single Room","1","Private room in guesthouse",
"Bedrock beach bungalows  with swimming pool.......","2","Shared room in bungalow",
"4 BR House in Narigama","8","Entire home",
"Beira Lakeview Furnished Apartments","5","Entire rental unit","4.8"
"Flamingo guesthouse apartment","2","Private room in bed and breakfast",
"Rose Hill Villa","5","Entire villa","4.75"
"Suite-5-ORCHID Roof Top Eco Deck Bedroom  Apartmen","2","Private room in tiny home",
"Villa Summer dream","4","Private room in bed and breakfast",
"Cozy Beach hut - Steps from the Shore","2","Private room in bed and breakfast",
"Dream Villa - Weligama","2","Entire villa",
"Room on your budget","2","Private room in guesthouse",
"JKAB Beach Resort","2","Private room in rental unit","4.25"
"COCO Cabana King bed & kitchen free Wi-Fi &parking","2","Entire home",
"Lovely 3 bedroom condo with gym and pool (Luxe)","5","Entire condo",
"Suriya Arana - Apartment - 04","2","Private room in bed and breakfast",
"Mutton Button B&B Triple AC Room On The Hill","3","Private room in rental unit",
"Leonine Villa Yala / Private Double Room","2","Private room in guesthouse",
"Centrally located in downtown Colombo 02,","2","Room in bed and breakfast",
"Lolu Village Resort","2","Private room in bed and breakfast",
"Neverbeen to Royal Point | Family Room","4","Private room in guesthouse",
"Comfort Double Room","3","Room in hotel","5"
"Sigiri Sunrise Villa","4","Private room in bed and breakfast",
"Kumary's Home Rest (3)","8","Private room in home","4.47"
"Villa Grayish","4","Entire villa",
"Pandula Villa 390-Non AC Single Room","1","Private room in guesthouse",
"Deep Blue Homestay Jacopo Cottage","3","Entire bungalow",
"Spacious Room in a Cozy, Peaceful Environment","2","Private room in home",
"Nayan's Paradise Blue Deluxe room","2","Entire bungalow",
"Sir John's Bungalow, Knuckles, Sri Lanka","2","Private room","5"
"Sea view Rooms in Galle-Fort","5","Private room in home","4.81"
"Room 2 - Seascape Beach House","2","Private room in bungalow",
"Traum Villa Bentota -  Bungalow 2","3","Room in bed and breakfast",
